,LM number,Bone words,Region words,Data point,By Bone 14,By Bone (joining exoccipital+prootic) 12,By Region 19,Functional regions 6,Caecilian modules (FP in Fr) 9,Caecilian modules (FP in Pa) 10,Variably vs always present,Ossification sequence rank,"Simon+Marroig 2017 Functional 1 (NA: R, FP: R)","Simon+Marroig 2017 Functional 2 (NA: R, FP: N)","Simon+Marroig 2017 Functional 3 (NA: R, FP: Su)","Simon+Marroig 2017 Functional 4 (NA: Sn, FP: R)","Simon+Marroig 2017 Functional 5 (NA: Sn, FP: N)","Simon+Marroig 2017 Functional 6 (NA: Sn, FP: Su)","Pierkarski 1 (PS_sph: M, FP: H)","Pierkarski 2 (PS_sph: M, FP: M)","Pierkarski 3 (PS_sph: M, FP: B)","Pierkarski 4 (PS_sph: H, FP: H)","Pierkarski 5 (PS_sph: H, FP: M)","Pierkarski 6 (PS_sph: H, FP: B)","Vidal-Garcia 1. Snout: tip of the snout and the olfactory area (premaxilla, maxilla, and nasal),(I included Neo and Vo in snout too) 2: rest. ","Vidal-Garica 2: 1. dorsal, 2. ventral","Vidal-Garica 3: 1. snout, 2. rest, 3. squamosal","Vidal-Garcia 4: 1. snout, 2. posterior 3. medial","Vidal-Garcia 5: 1. snout, 2. rest, 3. brain region (dorsal sphenethemoid, exoccipital, frontoparietal)"
LM1,1,Premaxilla,Premaxilla(d),Premaxilla: medial extreme above tooth row,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM2,2,Premaxilla,Premaxilla(d),Premaxilla: lateral extreme above tooth row,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM3,3,Premaxilla,Premaxilla(d),Premaxilla: tip of alary process ('pars alaris'),1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM4,4,Premaxilla,Premaxilla(d),Premaxilla: posteromedial extreme at base of alary process,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM5,5,Premaxilla,Premaxilla(d),Premaxilla: posterolateral extreme at base of alary process,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM6,6,Maxilla,Maxilla(d),"Maxilla: anteroventral extreme in lateral view, dorsal to the tooth row/palatal shelf",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM7,7,Maxilla,Maxilla(d),Maxilla: posterior extreme in lateral aspect.,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM8,8,Maxilla,Maxilla(d),Maxilla: anterodorsal extreme of maxilla in lateral view. ,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM9,9,Maxilla,Maxilla(d),"Maxilla: tip of preorbital process of pars facialis, or if process absent, posterior-most suture with nasal",2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM10,10,Parasphenoid,Parasphenoid,Parasphenoid: anterior tip of cultriform process,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM11,11,Parasphenoid,Parasphenoid,Parisphenoid: inflection point between anterior and lateral projections,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM12,12,Parasphenoid,Parasphenoid,Parisphenoid: anterolateral extreme of lateral projection,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM13,13,Parasphenoid,Parasphenoid,Parisphenoid: inflection point between lateral and posterior projections,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM14,14,Parasphenoid,Parasphenoid,Parasphenoid: posterior extreme along midline,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM15,15,Squamosal,Squamosal,Squamosal: posteromedial extreme on tip of otic (posterior) ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM16,16,Squamosal,Squamosal,Squamosal: medial extreme on tip of ventral ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM17,17,Squamosal,Squamosal,Squamosal: ventral extreme on tip of zygomatic (anterior) ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM18,18,Squamosal,Squamosal,Squamosal: inflection point between zygomatic (anterior) ramus and ventral ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM19,19,Squamosal,Squamosal,Squamosal: anterolateral tip of ventral ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM20,20,Squamosal,Squamosal,Squamosal: inflection point between ventral ramus and otic (posterior) ramus,4,4,4,3,4,4,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2
LM21,21,Pterygoid ,Pterygoid,Pterygoid: lateral extreme of tip of posterior ramus,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM22,22,Pterygoid ,Pterygoid,Pterygoid: inflection point between medial ramus and posterior ramus on the ventral bone surface,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM23,23,Pterygoid ,Pterygoid,Pterygoid: anteromedial extreme of tip of medial ramus,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM24,24,Pterygoid ,Pterygoid,Pterygoid: anterior extreme of base of medial ramus,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM25,25,Pterygoid ,Pterygoid,Pterygoid: anteromedial extreme of anterior ramus,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM26,26,Pterygoid ,Pterygoid,Pterygoid: anterior extreme of base of posterior ramus,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
LM27,27,Frontoparietal,Frontoparietal,Frontoparietal: anterior extreme along medial margin,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
LM28,28,Frontoparietal,Frontoparietal,Frontoparietal: anterior extreme along lateral margin,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
LM29,29,Frontoparietal,Frontoparietal,Frontoparietal: most lateral suture with 9,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
LM30,30,Frontoparietal,Frontoparietal,"Frontoparietal: posterolateral extreme, normally by the epiotic ridge",6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
LM31,31,Frontoparietal,Frontoparietal,Frontoparietal: suture with exoccipital along midline,6,6,6,4,6,6,1,1,4,2,3,4,2,3,1,2,3,1,2,3,2,1,2,3,3
LM32,32,Premaxilla,Premaxilla(v),Premaxilla: anteromedial extreme position on palatal shelf ('pars palatina') (just posterior to the pars dentigera),1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM33,33,Premaxilla,Premaxilla(v),Premaxilla: anterolateral extreme position on palatal shelf ('pars palatina') (just posterior to the pars dentigera),1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM34,34,Premaxilla,Premaxilla(v),Premaxilla: posterolateral extreme of palatal shelf ('pars palatina'),1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM35,35,Premaxilla,Premaxilla(v),"Premaxilla: tip of palatine process on palatal shelf ('pars palatina'), in ventral aspect",1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM36,36,Maxilla,Maxilla(v),Maxilla: anterior extreme of palatal shelf ('pars palatina'),2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM37,37,Maxilla,Maxilla(v),Maxilla: anteromedial extreme of palatal shelf ('pars palatina'),2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM38,38,Maxilla,Maxilla(v),Maxilla: posterolateral extreme of palatal shelf ('pars palatina'),2,2,8,5,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
LM39,39,Nasal,Nasal,Nasal: anterior tip,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM40,40,Nasal,Nasal,Nasal: posterior extreme,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM41,41,Nasal,Nasal,Nasal: tip of maxillary process,7,7,9,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LM42,42,Parasphenoid,Parasphenoid,Parasphenoid: posterolateral extreme of lateral projection,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
LM43,43,Exoccipital,Exoccipital,Exoccipital: anteromedial extreme suture with frontoparietal,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM44,44,Exoccipital,Exoccipital,Exoccipital: dorsal extreme of foramen magnum,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM45,45,Exoccipital,Occipital condyle,"Exoccipital: dorsal extreme of occipital condyle, along foramen magnum margin",8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM46,46,Exoccipital,Occipital condyle,"Exoccipital: ventral extreme of occipital condyle, along foramen magnum margin",8,8,11,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM47,47,Exoccipital,Exoccipital,Exoccipital: ventral extreme of foramen magnum,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM48,48,Exoccipital,Exoccipital,"Exoccipital: in ventral aspect, posteromedial suture with parasphenoid",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM49,49,Exoccipital,Exoccipital,"Exoccipital: in ventral aspect, posterolateral extreme suture with parasphenoid",8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM50,50,Exoccipital,Exoccipital,Exoccipital: ventral extreme of jugular foramen,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM51,51,Exoccipital,Exoccipital,Exoccipital: dorsal extreme of jugular foramen,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM52,52,Exoccipital,Exoccipital,Exoccipital: anterior extreme of processus mastoideus (ridge),8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM53,53,Exoccipital,Exoccipital,Exoccipital: On processus mastoideus (ridge)- lines up with ridge that gets to 65,8,8,10,6,8,8,1,1,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,3
LM54,54,Prootic,Otic,"Otic anteromedial extreme on the top (Anterior extreme of ridge, but only until reaches FP). Just medial to the ridge. If absent, next to LM28",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
LM55,55,Prootic,Otic,Otic dorsolateral extreme of 9 foramen (or oculomotor foramen- see Leptodactylus nesiotus diagram),9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
LM56,56,Prootic,Otic,"Otic anterolateral extreme, from dorsal view, along the ridge from LM63",9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
LM57,57,Prootic,Otic,Otic posterolateral extreme,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
LM58,58,Prootic,Otic,Otic on processus mastoideus (ridge)- lines up with ridge that gets to 65,9,8,12,6,8,8,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2
C1,59,Premaxilla,Premaxilla(d),Pm: Directly to the base of the alary process ('pars alaris') then follow base: 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1,60,Premaxilla,Premaxilla(d),Pm: Directly to the base of the alary process ('pars alaris') then follow base: 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1,61,Premaxilla,Premaxilla(d),Pm: Directly to the base of the alary process ('pars alaris') then follow base: 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2,62,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2,63,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2,64,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3,65,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3,66,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3,67,Premaxilla,Premaxilla(d),Pm: Following posterior edge of alary process ('pars alaris'): 3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C4,68,Premaxilla,Premaxilla(d),"Pm: Following base of alary process ('pars alaris'), then directly to landmark: 3",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C4,69,Premaxilla,Premaxilla(d),"Pm: Following base of alary process ('pars alaris'), then directly to landmark: 3",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C4,70,Premaxilla,Premaxilla(d),"Pm: Following base of alary process ('pars alaris'), then directly to landmark: 3",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C5,71,Premaxilla,Premaxilla(d),"Pm: Medially, dorsal to tooth row: 4",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C5,72,Premaxilla,Premaxilla(d),"Pm: Medially, dorsal to tooth row: 4",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C5,73,Premaxilla,Premaxilla(d),"Pm: Medially, dorsal to tooth row: 4",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C5,74,Premaxilla,Premaxilla(d),"Pm: Medially, dorsal to tooth row: 4",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C6,75,Premaxilla,Premaxilla(v),"Pm (V): Laterally, posterior to tooth shelf ('pars dentigera'): 3",1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C6,76,Premaxilla,Premaxilla(v),"Pm (V): Laterally, posterior to tooth shelf ('pars dentigera'): 3",1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C6,77,Premaxilla,Premaxilla(v),"Pm (V): Laterally, posterior to tooth shelf ('pars dentigera'): 3",1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C7,78,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C7,79,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C7,80,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,81,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,82,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,83,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,84,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,85,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C8,86,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 6,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C9,87,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C9,88,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C9,89,Premaxilla,Premaxilla(v),Pm (V): Following edge of palatal shelf of premaxilla: 3,1,1,7,5,7,7,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1
C10,90,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,91,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
