Dimnames of all_slid,Specimens,NEOPAL,STAPES,VOMER,QU,JJ,SPH D,SPH V
Acanthixalus sonjaezmb 79329_KD_S_final,Acanthixalus sonjaezmb,present,present,present,present,present,present,present
Adenomera_andreae_UF43260_Fl_S_final,Adenomera andreae,present,present,present,present,present,present,present
Adenomus_kelaartii_FMNH-1580_M13579-23759_S_final,Adenomus kelaartii,present,present,present,present,present,present,present
Afrixalus auresus zmb 64929_KD_S_final,Afrixalus auresus,present,present,present,present,present,NA,present
Agalychnis calcifer UF137291_Fl_S_final,Agalychnis calcifer,present,present,present,NA,present,present,present
Allobates_kingsburyi_CAS-H-10670_M13734-24018_S_final,Allobates kingsburyi,NA,present,present,present,NA,present,present
Allophryne_ruthveni_KU-H-166716_M14698-26339_S_final,Allophryne ruthveni,NA,present,present,NA,present,present,present
Alsodes nodosus CM63864_Fl_S_final,Alsodes nodosus,present,present,present,present,present,NA,present
Altiphrynoides malcomi CAS 162120_Fl_S_final,Altiphrynoides malcomi,present,NA,present,present,present,present,present
Alytes_obstetricans_CAS-SUA-21691_M13730-24009_S_final,Alytes obstetricans,NA,present,present,present,present,present,present
Ameerega parvula zmb 75398_KD_S_final,Ameerega parvula,NA,present,present,present,present,present,present
Amietophrynus regularis zmb 74275_KD_S_final,Amietophrynus regularis,present,present,present,present,present,NA,present
Anaxyrus_fowleri_UF3997-2_Fl_S_final,Anaxyrus fowleri,present,present,present,present,present,present,present
Anaxyrus_quercicus_UF124269_Fl_S_final,Anaxyrus quercicus,present,present,present,present,NA,present,present
Anhydrophryne_rattrayi_CAS-H-156428_M13934-24513_S_final,Anhydrophryne rattrayi,present,NA,present,present,present,present,present
Anotheca_spinosa_UF137287_Fl_S_ornamented,Anotheca spinosa,present,present,present,present,present,present,present
Ansonia_mcgregori_KU-H-334742_M14201-24986_S_final,Ansonia mcgregori,present,present,present,NA,present,present,present
Aromobates_alboguttatus_ZMB_18825_MfN_S_final,Aromobates alboguttatus,present,present,present,present,present,present,present
Arthroleptella_lightfooti_CAS-H-157023_M13935-25078_S_final,Arthroleptella lightfooti,present,present,present,present,present,present,present
Arthroleptis bioko CAS207285_Fl_S_final,Arthroleptis bioko,present,present,present,present,present,NA,present
Ascaphus_truei_UF80664_Fl_S_final,Ascaphus truei,NA,NA,present,NA,NA,NA,present
Astylosternus diadematus CAS 254126_Fl_S_final,Astylosternus diadematus,present,present,present,present,present,present,present
Astylosternus occidentalis zmb 77244_KD_S_final,Astylosternus occidentalis,present,present,present,present,present,NA,present
Atelopus ignescens UF 39140_Fl_S_final,Atelopus ignescens,present,NA,present,present,present,present,present
Atelopus_oxyrhynchus_UF93190_Fl_S_final,Atelopus oxyrhynchus,present,NA,present,present,present,present,present
Balebreviceps hillimani CAS 167436_Fl_S_final,Balebreviceps hillimani,NA,NA,present,NA,present,present,present
Barbourula_busuangensis_UF70546_Fl_S_final,Barbourula busuangensis,NA,present,present,present,present,present,present
